Training for 378151 steps ...
    267/378151: episode: 1, duration: 0.485s, episode steps: 267, steps per second: 551, episode reward: 57.325, mean reward:  0.215 [-0.005,  0.415], mean action: 16.045 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    534/378151: episode: 2, duration: 0.365s, episode steps: 267, steps per second: 731, episode reward: 113.329, mean reward:  0.424 [-0.005,  0.538], mean action: 16.367 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    564/378151: episode: 3, duration: 0.035s, episode steps:  30, steps per second: 857, episode reward:  7.038, mean reward:  0.235 [ 0.087,  0.311], mean action: 16.400 [2.000, 30.000],  loss: --, mae: --, mean_q: --
    831/378151: episode: 4, duration: 0.407s, episode steps: 267, steps per second: 655, episode reward: 67.678, mean reward:  0.253 [-0.005,  0.383], mean action: 14.910 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    965/378151: episode: 5, duration: 0.209s, episode steps: 134, steps per second: 643, episode reward: 19.512, mean reward:  0.146 [-0.005,  0.305], mean action: 15.896 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1013/378151: episode: 6, duration: 0.593s, episode steps:  48, steps per second:  81, episode reward: 10.595, mean reward:  0.221 [-0.005,  0.361], mean action: 16.854 [1.000, 31.000],  loss: 0.102545, mae: 0.529636, mean_q: 0.939392
   1205/378151: episode: 7, duration: 1.827s, episode steps: 192, steps per second: 105, episode reward: 40.150, mean reward:  0.209 [-0.005,  0.439], mean action: 16.609 [0.000, 31.000],  loss: 0.021921, mae: 0.841612, mean_q: 1.052258
   1383/378151: episode: 8, duration: 1.718s, episode steps: 178, steps per second: 104, episode reward: 76.259, mean reward:  0.428 [-0.005,  0.659], mean action: 15.787 [0.000, 31.000],  loss: 0.014503, mae: 1.411716, mean_q: 1.638812
   1535/378151: episode: 9, duration: 1.484s, episode steps: 152, steps per second: 102, episode reward: 22.333, mean reward:  0.147 [-0.005,  0.409], mean action: 14.704 [0.000, 31.000],  loss: 0.021925, mae: 1.966350, mean_q: 2.246646
   1552/378151: episode: 10, duration: 0.164s, episode steps:  17, steps per second: 104, episode reward:  4.077, mean reward:  0.240 [ 0.116,  0.327], mean action: 16.588 [2.000, 30.000],  loss: 0.023758, mae: 2.273158, mean_q: 2.616219
   1712/378151: episode: 11, duration: 1.543s, episode steps: 160, steps per second: 104, episode reward: 34.284, mean reward:  0.214 [-0.005,  0.342], mean action: 16.450 [0.000, 31.000],  loss: 0.024190, mae: 2.558353, mean_q: 2.859969
   1770/378151: episode: 12, duration: 0.546s, episode steps:  58, steps per second: 106, episode reward: 15.798, mean reward:  0.272 [-0.005,  0.472], mean action: 16.621 [0.000, 31.000],  loss: 0.019972, mae: 2.970471, mean_q: 3.307602
   1833/378151: episode: 13, duration: 0.666s, episode steps:  63, steps per second:  95, episode reward: 18.575, mean reward:  0.295 [ 0.128,  0.417], mean action: 17.460 [0.000, 31.000],  loss: 0.021445, mae: 3.175602, mean_q: 3.521974
   1867/378151: episode: 14, duration: 0.328s, episode steps:  34, steps per second: 104, episode reward:  6.722, mean reward:  0.198 [-0.005,  0.312], mean action: 16.265 [1.000, 30.000],  loss: 0.029297, mae: 3.317829, mean_q: 3.639441
