Training for 378151 steps ...
     36/378151: episode: 1, duration: 0.169s, episode steps:  36, steps per second: 213, episode reward:  5.274, mean reward:  0.146 [-0.005,  0.306], mean action: 15.778 [0.000, 30.000],  loss: --, mae: --, mean_q: --
     60/378151: episode: 2, duration: 0.026s, episode steps:  24, steps per second: 906, episode reward:  5.645, mean reward:  0.235 [ 0.017,  0.318], mean action: 13.667 [1.000, 30.000],  loss: --, mae: --, mean_q: --
    175/378151: episode: 3, duration: 0.200s, episode steps: 115, steps per second: 574, episode reward: 18.710, mean reward:  0.163 [-0.005,  0.306], mean action: 14.826 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    261/378151: episode: 4, duration: 0.100s, episode steps:  86, steps per second: 862, episode reward: 17.707, mean reward:  0.206 [-0.005,  0.306], mean action: 16.256 [0.000, 30.000],  loss: --, mae: --, mean_q: --
    359/378151: episode: 5, duration: 0.185s, episode steps:  98, steps per second: 531, episode reward: 21.289, mean reward:  0.217 [-0.005,  0.351], mean action: 13.898 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    387/378151: episode: 6, duration: 0.036s, episode steps:  28, steps per second: 779, episode reward:  5.627, mean reward:  0.201 [-0.005,  0.333], mean action: 20.143 [4.000, 31.000],  loss: --, mae: --, mean_q: --
    639/378151: episode: 7, duration: 0.358s, episode steps: 252, steps per second: 703, episode reward: 41.170, mean reward:  0.163 [-0.005,  0.347], mean action: 15.683 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    723/378151: episode: 8, duration: 0.168s, episode steps:  84, steps per second: 501, episode reward: 18.199, mean reward:  0.217 [-0.005,  0.346], mean action: 14.821 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    781/378151: episode: 9, duration: 0.068s, episode steps:  58, steps per second: 851, episode reward: 12.329, mean reward:  0.213 [-0.005,  0.333], mean action: 14.845 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1048/378151: episode: 10, duration: 1.496s, episode steps: 267, steps per second: 178, episode reward: 88.517, mean reward:  0.332 [-0.005,  0.519], mean action: 16.326 [0.000, 31.000],  loss: 0.069910, mae: 0.755262, mean_q: 1.080588
   1318/378151: episode: 11, duration: 2.617s, episode steps: 270, steps per second: 103, episode reward: 119.230, mean reward:  0.442 [ 0.116,  0.584], mean action: 14.870 [0.000, 31.000],  loss: 0.019210, mae: 1.174831, mean_q: 1.409038
