Training for 50000 steps ...
   213/50000: episode: 1, duration: 14.194s, episode steps: 213, steps per second:  15, episode reward: 36.289, mean reward:  0.170 [-0.005,  0.330], mean action: 14.812 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   282/50000: episode: 2, duration: 4.593s, episode steps:  69, steps per second:  15, episode reward: 12.083, mean reward:  0.175 [-0.005,  0.369], mean action: 17.362 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   464/50000: episode: 3, duration: 12.023s, episode steps: 182, steps per second:  15, episode reward: 56.705, mean reward:  0.312 [-0.005,  0.442], mean action: 16.648 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   553/50000: episode: 4, duration: 5.899s, episode steps:  89, steps per second:  15, episode reward: 25.455, mean reward:  0.286 [-0.005,  0.454], mean action: 12.292 [0.000, 30.000],  loss: --, mae: --, mean_q: --
   718/50000: episode: 5, duration: 10.894s, episode steps: 165, steps per second:  15, episode reward: 37.921, mean reward:  0.230 [-0.005,  0.373], mean action: 16.164 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   760/50000: episode: 6, duration: 2.831s, episode steps:  42, steps per second:  15, episode reward:  9.539, mean reward:  0.227 [-0.005,  0.310], mean action: 15.429 [1.000, 30.000],  loss: --, mae: --, mean_q: --
  1029/50000: episode: 7, duration: 18.700s, episode steps: 269, steps per second:  14, episode reward: 75.529, mean reward:  0.281 [-0.005,  0.489], mean action: 15.974 [0.000, 31.000],  loss: 0.050205, mae: 0.276261, mean_q: 0.487380
  1182/50000: episode: 8, duration: 11.929s, episode steps: 153, steps per second:  13, episode reward: 30.973, mean reward:  0.202 [-0.005,  0.322], mean action: 15.667 [0.000, 31.000],  loss: 0.015589, mae: 0.454740, mean_q: 0.653180
  1357/50000: episode: 9, duration: 13.634s, episode steps: 175, steps per second:  13, episode reward: 43.032, mean reward:  0.246 [-0.005,  0.476], mean action: 15.629 [0.000, 31.000],  loss: 0.015262, mae: 0.965539, mean_q: 1.226473
  1380/50000: episode: 10, duration: 1.849s, episode steps:  23, steps per second:  12, episode reward:  5.587, mean reward:  0.243 [ 0.133,  0.309], mean action: 15.087 [2.000, 31.000],  loss: 0.015557, mae: 1.325282, mean_q: 1.637439
  1577/50000: episode: 11, duration: 15.350s, episode steps: 197, steps per second:  13, episode reward: 66.968, mean reward:  0.340 [-0.005,  0.478], mean action: 15.594 [0.000, 31.000],  loss: 0.021070, mae: 1.804710, mean_q: 2.180243
  1794/50000: episode: 12, duration: 16.912s, episode steps: 217, steps per second:  13, episode reward: 83.580, mean reward:  0.385 [-0.005,  0.478], mean action: 14.788 [0.000, 31.000],  loss: 0.026720, mae: 2.823893, mean_q: 3.268526
  1896/50000: episode: 13, duration: 7.990s, episode steps: 102, steps per second:  13, episode reward: 29.379, mean reward:  0.288 [-0.005,  0.416], mean action: 15.422 [0.000, 31.000],  loss: 0.032423, mae: 3.568397, mean_q: 4.099127
  1980/50000: episode: 14, duration: 6.584s, episode steps:  84, steps per second:  13, episode reward: 26.665, mean reward:  0.317 [-0.005,  0.452], mean action: 14.893 [0.000, 31.000],  loss: 0.038183, mae: 4.007347, mean_q: 4.561474
  1999/50000: episode: 15, duration: 1.554s, episode steps:  19, steps per second:  12, episode reward:  2.733, mean reward:  0.144 [-0.005,  0.309], mean action: 15.105 [0.000, 31.000],  loss: 0.040699, mae: 4.291669, mean_q: 4.839690
  2076/50000: episode: 16, duration: 6.035s, episode steps:  77, steps per second:  13, episode reward: 24.983, mean reward:  0.324 [ 0.083,  0.496], mean action: 14.792 [0.000, 31.000],  loss: 0.053601, mae: 4.527168, mean_q: 5.097890
  2122/50000: episode: 17, duration: 3.631s, episode steps:  46, steps per second:  13, episode reward: 15.195, mean reward:  0.330 [ 0.087,  0.414], mean action: 17.370 [1.000, 31.000],  loss: 0.051296, mae: 4.863684, mean_q: 5.470473
  2392/50000: episode: 18, duration: 20.997s, episode steps: 270, steps per second:  13, episode reward: 103.734, mean reward:  0.384 [ 0.087,  0.490], mean action: 15.085 [0.000, 31.000],  loss: 0.063102, mae: 5.541493, mean_q: 6.165764
  2473/50000: episode: 19, duration: 6.349s, episode steps:  81, steps per second:  13, episode reward: 23.267, mean reward:  0.287 [-0.005,  0.498], mean action: 16.037 [0.000, 31.000],  loss: 0.090039, mae: 6.401020, mean_q: 7.089994
  2505/50000: episode: 20, duration: 2.554s, episode steps:  32, steps per second:  13, episode reward:  6.569, mean reward:  0.205 [-0.005,  0.310], mean action: 14.938 [1.000, 31.000],  loss: 0.071452, mae: 6.655163, mean_q: 7.344092
  2733/50000: episode: 21, duration: 17.731s, episode steps: 228, steps per second:  13, episode reward: 103.409, mean reward:  0.454 [-0.005,  0.660], mean action: 15.105 [0.000, 31.000],  loss: 0.096757, mae: 7.257373, mean_q: 8.012453
  2799/50000: episode: 22, duration: 5.180s, episode steps:  66, steps per second:  13, episode reward: 19.830, mean reward:  0.300 [-0.005,  0.476], mean action: 17.348 [0.000, 31.000],  loss: 0.091861, mae: 7.938325, mean_q: 8.743410
  2846/50000: episode: 23, duration: 3.712s, episode steps:  47, steps per second:  13, episode reward:  8.905, mean reward:  0.189 [-0.005,  0.313], mean action: 16.809 [0.000, 31.000],  loss: 0.137373, mae: 8.222327, mean_q: 9.003629
  2966/50000: episode: 24, duration: 9.381s, episode steps: 120, steps per second:  13, episode reward: 24.566, mean reward:  0.205 [-0.005,  0.386], mean action: 14.833 [0.000, 31.000],  loss: 0.122305, mae: 8.673731, mean_q: 9.619593
  3233/50000: episode: 25, duration: 20.720s, episode steps: 267, steps per second:  13, episode reward: 100.006, mean reward:  0.375 [-0.005,  0.520], mean action: 16.019 [0.000, 31.000],  loss: 0.176610, mae: 9.821566, mean_q: 10.823976
  3414/50000: episode: 26, duration: 14.053s, episode steps: 181, steps per second:  13, episode reward: 67.399, mean reward:  0.372 [-0.005,  0.469], mean action: 16.055 [0.000, 31.000],  loss: 0.272855, mae: 11.062551, mean_q: 12.175182
  3501/50000: episode: 27, duration: 6.802s, episode steps:  87, steps per second:  13, episode reward: 18.136, mean reward:  0.208 [-0.005,  0.315], mean action: 16.184 [0.000, 31.000],  loss: 0.255104, mae: 11.773297, mean_q: 12.883864
  3530/50000: episode: 28, duration: 2.320s, episode steps:  29, steps per second:  13, episode reward:  5.258, mean reward:  0.181 [ 0.087,  0.321], mean action: 13.448 [0.000, 31.000],  loss: 0.184514, mae: 12.124101, mean_q: 13.246776
  3799/50000: episode: 29, duration: 20.899s, episode steps: 269, steps per second:  13, episode reward: 99.924, mean reward:  0.371 [ 0.087,  0.482], mean action: 14.442 [0.000, 31.000],  loss: 0.267748, mae: 13.007031, mean_q: 14.219057
  4066/50000: episode: 30, duration: 20.743s, episode steps: 267, steps per second:  13, episode reward: 80.194, mean reward:  0.300 [-0.005,  0.415], mean action: 16.112 [0.000, 31.000],  loss: 0.366496, mae: 14.587227, mean_q: 15.887024
  4333/50000: episode: 31, duration: 20.737s, episode steps: 267, steps per second:  13, episode reward: 64.408, mean reward:  0.241 [-0.005,  0.446], mean action: 15.273 [0.000, 31.000],  loss: 0.436978, mae: 16.173990, mean_q: 17.560907
  4600/50000: episode: 32, duration: 20.706s, episode steps: 267, steps per second:  13, episode reward: 112.506, mean reward:  0.421 [-0.005,  0.631], mean action: 15.820 [0.000, 31.000],  loss: 0.466360, mae: 17.573639, mean_q: 19.043554
  4867/50000: episode: 33, duration: 20.760s, episode steps: 267, steps per second:  13, episode reward: 97.186, mean reward:  0.364 [-0.005,  0.596], mean action: 16.101 [0.000, 31.000],  loss: 0.713537, mae: 19.025642, mean_q: 20.652567
  5134/50000: episode: 34, duration: 20.727s, episode steps: 267, steps per second:  13, episode reward: 140.006, mean reward:  0.524 [ 0.087,  0.650], mean action: 14.412 [0.000, 31.000],  loss: 0.642680, mae: 20.628643, mean_q: 22.395699
  5210/50000: episode: 35, duration: 5.963s, episode steps:  76, steps per second:  13, episode reward: 30.572, mean reward:  0.402 [ 0.133,  0.494], mean action: 15.053 [0.000, 30.000],  loss: 0.947775, mae: 21.619610, mean_q: 23.353004
  5286/50000: episode: 36, duration: 5.956s, episode steps:  76, steps per second:  13, episode reward: 15.306, mean reward:  0.201 [-0.005,  0.361], mean action: 16.289 [0.000, 31.000],  loss: 0.694497, mae: 22.204462, mean_q: 24.010668
  5319/50000: episode: 37, duration: 2.617s, episode steps:  33, steps per second:  13, episode reward: 11.365, mean reward:  0.344 [ 0.137,  0.470], mean action: 16.303 [0.000, 31.000],  loss: 0.651823, mae: 22.456697, mean_q: 24.344643
  5586/50000: episode: 38, duration: 20.727s, episode steps: 267, steps per second:  13, episode reward: 114.461, mean reward:  0.429 [ 0.137,  0.565], mean action: 15.640 [0.000, 31.000],  loss: 1.327160, mae: 23.329855, mean_q: 25.209000
  5606/50000: episode: 39, duration: 1.622s, episode steps:  20, steps per second:  12, episode reward:  3.886, mean reward:  0.194 [-0.005,  0.311], mean action: 16.300 [0.000, 31.000],  loss: 0.607957, mae: 24.216110, mean_q: 26.197830
  5632/50000: episode: 40, duration: 2.091s, episode steps:  26, steps per second:  12, episode reward:  3.937, mean reward:  0.151 [-0.005,  0.308], mean action: 18.538 [4.000, 30.000],  loss: 0.698957, mae: 24.368723, mean_q: 26.435652
  5725/50000: episode: 41, duration: 7.280s, episode steps:  93, steps per second:  13, episode reward: 35.479, mean reward:  0.381 [ 0.133,  0.472], mean action: 15.516 [0.000, 31.000],  loss: 0.989745, mae: 24.795988, mean_q: 26.878452
  5995/50000: episode: 42, duration: 20.964s, episode steps: 270, steps per second:  13, episode reward: 124.238, mean reward:  0.460 [ 0.072,  0.640], mean action: 15.778 [0.000, 31.000],  loss: 1.542924, mae: 26.013773, mean_q: 28.119371
  6193/50000: episode: 43, duration: 15.401s, episode steps: 198, steps per second:  13, episode reward: 91.267, mean reward:  0.461 [-0.005,  0.660], mean action: 15.510 [0.000, 31.000],  loss: 1.392719, mae: 27.477322, mean_q: 29.680397
  6328/50000: episode: 44, duration: 10.529s, episode steps: 135, steps per second:  13, episode reward: 46.873, mean reward:  0.347 [-0.005,  0.478], mean action: 14.904 [0.000, 31.000],  loss: 1.198763, mae: 28.535732, mean_q: 30.734108
  6462/50000: episode: 45, duration: 10.442s, episode steps: 134, steps per second:  13, episode reward: 56.328, mean reward:  0.420 [ 0.133,  0.483], mean action: 17.082 [0.000, 31.000],  loss: 1.511671, mae: 29.350018, mean_q: 31.585085
  6648/50000: episode: 46, duration: 14.469s, episode steps: 186, steps per second:  13, episode reward: 84.172, mean reward:  0.453 [-0.005,  0.642], mean action: 15.570 [0.000, 31.000],  loss: 2.239796, mae: 30.349720, mean_q: 32.719883
  6871/50000: episode: 47, duration: 17.353s, episode steps: 223, steps per second:  13, episode reward: 98.796, mean reward:  0.443 [-0.005,  0.640], mean action: 15.937 [0.000, 31.000],  loss: 1.653029, mae: 31.662497, mean_q: 34.143353
  7138/50000: episode: 48, duration: 20.757s, episode steps: 267, steps per second:  13, episode reward: 76.444, mean reward:  0.286 [-0.005,  0.487], mean action: 15.903 [0.000, 31.000],  loss: 2.064437, mae: 33.425522, mean_q: 35.982948
  7405/50000: episode: 49, duration: 20.731s, episode steps: 267, steps per second:  13, episode reward: 73.447, mean reward:  0.275 [-0.005,  0.471], mean action: 16.075 [0.000, 31.000],  loss: 2.623820, mae: 35.131863, mean_q: 37.872437
  7672/50000: episode: 50, duration: 20.753s, episode steps: 267, steps per second:  13, episode reward: 95.932, mean reward:  0.359 [-0.005,  0.482], mean action: 15.798 [0.000, 30.000],  loss: 3.280030, mae: 37.032677, mean_q: 39.888054
  7941/50000: episode: 51, duration: 20.854s, episode steps: 269, steps per second:  13, episode reward: 107.756, mean reward:  0.401 [-0.005,  0.541], mean action: 14.814 [0.000, 31.000],  loss: 3.121587, mae: 38.851200, mean_q: 41.745228
  8132/50000: episode: 52, duration: 14.832s, episode steps: 191, steps per second:  13, episode reward: 50.142, mean reward:  0.263 [-0.005,  0.440], mean action: 15.916 [0.000, 31.000],  loss: 2.524676, mae: 40.429939, mean_q: 43.402283
  8399/50000: episode: 53, duration: 20.739s, episode steps: 267, steps per second:  13, episode reward: 138.432, mean reward:  0.518 [-0.005,  0.648], mean action: 14.356 [0.000, 31.000],  loss: 3.805006, mae: 41.903591, mean_q: 45.178139
  8629/50000: episode: 54, duration: 17.865s, episode steps: 230, steps per second:  13, episode reward: 127.548, mean reward:  0.555 [-0.005,  0.652], mean action: 15.865 [0.000, 31.000],  loss: 4.234714, mae: 43.988110, mean_q: 47.453346
  8896/50000: episode: 55, duration: 20.707s, episode steps: 267, steps per second:  13, episode reward: 112.381, mean reward:  0.421 [ 0.087,  0.484], mean action: 17.022 [0.000, 31.000],  loss: 3.769850, mae: 46.051884, mean_q: 49.563942
  9163/50000: episode: 56, duration: 20.727s, episode steps: 267, steps per second:  13, episode reward: 98.814, mean reward:  0.370 [-0.005,  0.484], mean action: 15.670 [0.000, 31.000],  loss: 4.056363, mae: 48.374481, mean_q: 51.968487
  9430/50000: episode: 57, duration: 20.702s, episode steps: 267, steps per second:  13, episode reward: 113.634, mean reward:  0.426 [-0.005,  0.488], mean action: 14.903 [0.000, 31.000],  loss: 3.764354, mae: 50.606514, mean_q: 54.418213
  9699/50000: episode: 58, duration: 20.867s, episode steps: 269, steps per second:  13, episode reward: 119.418, mean reward:  0.444 [ 0.116,  0.494], mean action: 14.948 [0.000, 31.000],  loss: 5.547153, mae: 52.766918, mean_q: 56.718445
  9948/50000: episode: 59, duration: 19.361s, episode steps: 249, steps per second:  13, episode reward: 97.776, mean reward:  0.393 [-0.005,  0.504], mean action: 15.799 [0.000, 31.000],  loss: 5.270343, mae: 54.948463, mean_q: 59.013561
