Training for 50000 steps ...
   267/50000: episode: 1, duration: 17.642s, episode steps: 267, steps per second:  15, episode reward: 62.027, mean reward:  0.232 [-0.005,  0.371], mean action: 15.727 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   534/50000: episode: 2, duration: 17.550s, episode steps: 267, steps per second:  15, episode reward: 61.175, mean reward:  0.229 [-0.005,  0.390], mean action: 14.382 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   801/50000: episode: 3, duration: 17.598s, episode steps: 267, steps per second:  15, episode reward: 59.377, mean reward:  0.222 [-0.005,  0.456], mean action: 14.161 [0.000, 31.000],  loss: --, mae: --, mean_q: --
  1068/50000: episode: 4, duration: 18.935s, episode steps: 267, steps per second:  14, episode reward: 53.085, mean reward:  0.199 [-0.005,  0.353], mean action: 14.625 [0.000, 31.000],  loss: 0.032645, mae: 0.671830, mean_q: 0.931727
  1197/50000: episode: 5, duration: 10.022s, episode steps: 129, steps per second:  13, episode reward: 34.316, mean reward:  0.266 [-0.005,  0.380], mean action: 15.248 [0.000, 31.000],  loss: 0.011879, mae: 0.879925, mean_q: 1.079807
  1381/50000: episode: 6, duration: 14.259s, episode steps: 184, steps per second:  13, episode reward: 35.004, mean reward:  0.190 [-0.005,  0.378], mean action: 14.332 [0.000, 31.000],  loss: 0.011150, mae: 1.323797, mean_q: 1.556365
  1466/50000: episode: 7, duration: 6.622s, episode steps:  85, steps per second:  13, episode reward: 20.256, mean reward:  0.238 [-0.005,  0.338], mean action: 15.906 [0.000, 31.000],  loss: 0.014066, mae: 1.719608, mean_q: 1.995708
  1508/50000: episode: 8, duration: 3.315s, episode steps:  42, steps per second:  13, episode reward:  4.177, mean reward:  0.099 [-0.005,  0.312], mean action: 13.524 [0.000, 30.000],  loss: 0.013029, mae: 1.927828, mean_q: 2.215811
  1531/50000: episode: 9, duration: 1.860s, episode steps:  23, steps per second:  12, episode reward:  4.695, mean reward:  0.204 [-0.005,  0.307], mean action: 16.739 [0.000, 30.000],  loss: 0.012020, mae: 2.032151, mean_q: 2.314341
  1798/50000: episode: 10, duration: 20.663s, episode steps: 267, steps per second:  13, episode reward: 71.706, mean reward:  0.269 [-0.005,  0.411], mean action: 14.996 [0.000, 31.000],  loss: 0.023169, mae: 2.469715, mean_q: 2.813314
  1860/50000: episode: 11, duration: 4.842s, episode steps:  62, steps per second:  13, episode reward:  8.890, mean reward:  0.143 [-0.005,  0.396], mean action: 14.645 [0.000, 31.000],  loss: 0.022764, mae: 2.994927, mean_q: 3.371783
  1884/50000: episode: 12, duration: 1.929s, episode steps:  24, steps per second:  12, episode reward:  5.660, mean reward:  0.236 [-0.005,  0.313], mean action: 12.542 [0.000, 30.000],  loss: 0.028567, mae: 3.106344, mean_q: 3.480485
  2151/50000: episode: 13, duration: 20.680s, episode steps: 267, steps per second:  13, episode reward: 141.338, mean reward:  0.529 [ 0.116,  0.720], mean action: 15.884 [0.000, 31.000],  loss: 0.035079, mae: 3.674480, mean_q: 4.133068
  2209/50000: episode: 14, duration: 4.556s, episode steps:  58, steps per second:  13, episode reward: 10.937, mean reward:  0.189 [-0.005,  0.321], mean action: 16.621 [1.000, 31.000],  loss: 0.038154, mae: 4.353169, mean_q: 4.825131
  2223/50000: episode: 15, duration: 1.169s, episode steps:  14, steps per second:  12, episode reward:  2.966, mean reward:  0.212 [ 0.116,  0.309], mean action: 14.929 [3.000, 27.000],  loss: 0.044308, mae: 4.452281, mean_q: 4.929013
  2368/50000: episode: 16, duration: 11.263s, episode steps: 145, steps per second:  13, episode reward: 41.962, mean reward:  0.289 [-0.005,  0.475], mean action: 14.821 [0.000, 31.000],  loss: 0.053633, mae: 4.765786, mean_q: 5.293172
  2429/50000: episode: 17, duration: 4.794s, episode steps:  61, steps per second:  13, episode reward: 21.833, mean reward:  0.358 [-0.005,  0.503], mean action: 15.082 [0.000, 30.000],  loss: 0.071988, mae: 5.157045, mean_q: 5.732522
  2687/50000: episode: 18, duration: 20.001s, episode steps: 258, steps per second:  13, episode reward: 102.490, mean reward:  0.397 [ 0.087,  0.480], mean action: 15.105 [0.000, 31.000],  loss: 0.088112, mae: 5.819430, mean_q: 6.465991
  2876/50000: episode: 19, duration: 14.715s, episode steps: 189, steps per second:  13, episode reward: 64.337, mean reward:  0.340 [ 0.116,  0.473], mean action: 15.799 [0.000, 31.000],  loss: 0.096254, mae: 6.859184, mean_q: 7.574823
  3030/50000: episode: 20, duration: 11.955s, episode steps: 154, steps per second:  13, episode reward: 27.536, mean reward:  0.179 [-0.005,  0.383], mean action: 15.208 [0.000, 31.000],  loss: 0.131702, mae: 7.629222, mean_q: 8.372153
  3208/50000: episode: 21, duration: 13.826s, episode steps: 178, steps per second:  13, episode reward: 44.490, mean reward:  0.250 [-0.005,  0.481], mean action: 14.753 [0.000, 31.000],  loss: 0.152080, mae: 8.306912, mean_q: 9.135227
  3301/50000: episode: 22, duration: 7.271s, episode steps:  93, steps per second:  13, episode reward: 16.303, mean reward:  0.175 [-0.005,  0.309], mean action: 15.989 [0.000, 31.000],  loss: 0.217252, mae: 8.866352, mean_q: 9.774161
  3476/50000: episode: 23, duration: 13.581s, episode steps: 175, steps per second:  13, episode reward: 80.371, mean reward:  0.459 [-0.005,  0.644], mean action: 15.954 [0.000, 31.000],  loss: 0.191360, mae: 9.481634, mean_q: 10.400391
  3743/50000: episode: 24, duration: 20.673s, episode steps: 267, steps per second:  13, episode reward: 127.942, mean reward:  0.479 [ 0.116,  0.706], mean action: 15.397 [0.000, 31.000],  loss: 0.224566, mae: 10.562175, mean_q: 11.563290
  3852/50000: episode: 25, duration: 8.470s, episode steps: 109, steps per second:  13, episode reward: 39.816, mean reward:  0.365 [-0.005,  0.496], mean action: 15.275 [0.000, 30.000],  loss: 0.356277, mae: 11.565434, mean_q: 12.725427
  3904/50000: episode: 26, duration: 4.090s, episode steps:  52, steps per second:  13, episode reward: 11.518, mean reward:  0.221 [-0.005,  0.330], mean action: 14.865 [0.000, 30.000],  loss: 0.327829, mae: 11.987950, mean_q: 13.218658
  3917/50000: episode: 27, duration: 1.073s, episode steps:  13, steps per second:  12, episode reward:  2.325, mean reward:  0.179 [-0.005,  0.311], mean action: 18.538 [8.000, 31.000],  loss: 0.175875, mae: 12.173300, mean_q: 13.526068
  3928/50000: episode: 28, duration: 0.922s, episode steps:  11, steps per second:  12, episode reward:  2.452, mean reward:  0.223 [ 0.116,  0.311], mean action: 18.636 [6.000, 31.000],  loss: 0.220649, mae: 12.286551, mean_q: 13.544837
  4071/50000: episode: 29, duration: 11.113s, episode steps: 143, steps per second:  13, episode reward: 38.649, mean reward:  0.270 [-0.005,  0.385], mean action: 14.266 [0.000, 31.000],  loss: 0.379188, mae: 12.724899, mean_q: 14.007086
  4159/50000: episode: 30, duration: 6.870s, episode steps:  88, steps per second:  13, episode reward: 29.212, mean reward:  0.332 [-0.005,  0.493], mean action: 14.614 [0.000, 31.000],  loss: 0.527122, mae: 13.425082, mean_q: 14.721594
  4187/50000: episode: 31, duration: 2.229s, episode steps:  28, steps per second:  13, episode reward:  6.680, mean reward:  0.239 [ 0.087,  0.309], mean action: 14.679 [3.000, 30.000],  loss: 0.319817, mae: 13.781929, mean_q: 15.129616
  4454/50000: episode: 32, duration: 20.707s, episode steps: 267, steps per second:  13, episode reward: 94.929, mean reward:  0.356 [-0.005,  0.465], mean action: 16.131 [0.000, 31.000],  loss: 0.455404, mae: 14.727784, mean_q: 16.179705
  4508/50000: episode: 33, duration: 4.231s, episode steps:  54, steps per second:  13, episode reward: 11.989, mean reward:  0.222 [ 0.087,  0.304], mean action: 15.167 [0.000, 31.000],  loss: 0.482273, mae: 15.822381, mean_q: 17.331017
  4775/50000: episode: 34, duration: 20.732s, episode steps: 267, steps per second:  13, episode reward: 118.730, mean reward:  0.445 [ 0.058,  0.584], mean action: 15.169 [0.000, 31.000],  loss: 0.559888, mae: 16.854013, mean_q: 18.355177
  5042/50000: episode: 35, duration: 20.699s, episode steps: 267, steps per second:  13, episode reward: 106.227, mean reward:  0.398 [-0.005,  0.580], mean action: 15.427 [0.000, 31.000],  loss: 0.610909, mae: 18.577192, mean_q: 20.203890
  5238/50000: episode: 36, duration: 15.239s, episode steps: 196, steps per second:  13, episode reward: 84.306, mean reward:  0.430 [ 0.087,  0.658], mean action: 14.888 [0.000, 31.000],  loss: 0.698311, mae: 20.140268, mean_q: 21.873611
  5441/50000: episode: 37, duration: 15.770s, episode steps: 203, steps per second:  13, episode reward: 40.541, mean reward:  0.200 [-0.005,  0.314], mean action: 14.857 [0.000, 31.000],  loss: 0.621776, mae: 21.291180, mean_q: 22.959787
  5648/50000: episode: 38, duration: 16.059s, episode steps: 207, steps per second:  13, episode reward: 82.364, mean reward:  0.398 [ 0.133,  0.478], mean action: 14.512 [0.000, 31.000],  loss: 0.563999, mae: 22.562557, mean_q: 24.401346
  5806/50000: episode: 39, duration: 12.286s, episode steps: 158, steps per second:  13, episode reward: 35.125, mean reward:  0.222 [-0.005,  0.342], mean action: 15.589 [0.000, 31.000],  loss: 0.913713, mae: 23.526045, mean_q: 25.359694
  6073/50000: episode: 40, duration: 20.687s, episode steps: 267, steps per second:  13, episode reward: 127.423, mean reward:  0.477 [ 0.045,  0.629], mean action: 15.974 [0.000, 31.000],  loss: 0.974365, mae: 24.712196, mean_q: 26.637051
  6333/50000: episode: 41, duration: 20.155s, episode steps: 260, steps per second:  13, episode reward: 132.218, mean reward:  0.509 [-0.005,  0.645], mean action: 16.000 [0.000, 31.000],  loss: 1.015074, mae: 26.164961, mean_q: 28.303801
  6365/50000: episode: 42, duration: 2.536s, episode steps:  32, steps per second:  13, episode reward:  8.973, mean reward:  0.280 [-0.005,  0.387], mean action: 12.906 [0.000, 30.000],  loss: 0.865146, mae: 27.118343, mean_q: 29.361374
  6478/50000: episode: 43, duration: 8.804s, episode steps: 113, steps per second:  13, episode reward: 33.562, mean reward:  0.297 [ 0.087,  0.514], mean action: 15.345 [0.000, 31.000],  loss: 0.994236, mae: 27.645485, mean_q: 29.854330
  6494/50000: episode: 44, duration: 1.305s, episode steps:  16, steps per second:  12, episode reward:  3.852, mean reward:  0.241 [ 0.116,  0.305], mean action: 19.250 [4.000, 31.000],  loss: 1.527297, mae: 28.376461, mean_q: 30.550941
  6513/50000: episode: 45, duration: 1.542s, episode steps:  19, steps per second:  12, episode reward:  4.063, mean reward:  0.214 [ 0.017,  0.306], mean action: 13.737 [2.000, 29.000],  loss: 0.919465, mae: 28.396643, mean_q: 30.733963
  6723/50000: episode: 46, duration: 16.318s, episode steps: 210, steps per second:  13, episode reward: 81.474, mean reward:  0.388 [-0.005,  0.470], mean action: 15.505 [0.000, 31.000],  loss: 1.403376, mae: 28.835318, mean_q: 31.024778
  6990/50000: episode: 47, duration: 20.699s, episode steps: 267, steps per second:  13, episode reward: 123.860, mean reward:  0.464 [-0.005,  0.649], mean action: 14.663 [0.000, 31.000],  loss: 1.520257, mae: 29.997217, mean_q: 32.276039
  7116/50000: episode: 48, duration: 9.823s, episode steps: 126, steps per second:  13, episode reward: 39.480, mean reward:  0.313 [ 0.087,  0.386], mean action: 13.127 [0.000, 31.000],  loss: 1.363176, mae: 31.087732, mean_q: 33.442268
  7383/50000: episode: 49, duration: 20.701s, episode steps: 267, steps per second:  13, episode reward: 114.220, mean reward:  0.428 [ 0.116,  0.608], mean action: 15.105 [0.000, 31.000],  loss: 1.488123, mae: 32.257420, mean_q: 34.631912
  7406/50000: episode: 50, duration: 1.844s, episode steps:  23, steps per second:  12, episode reward:  5.939, mean reward:  0.258 [ 0.137,  0.306], mean action: 16.870 [0.000, 31.000],  loss: 1.456345, mae: 32.697220, mean_q: 35.127335
  7659/50000: episode: 51, duration: 19.655s, episode steps: 253, steps per second:  13, episode reward: 121.121, mean reward:  0.479 [ 0.116,  0.659], mean action: 14.660 [0.000, 31.000],  loss: 1.370558, mae: 33.714649, mean_q: 36.157143
  7926/50000: episode: 52, duration: 20.695s, episode steps: 267, steps per second:  13, episode reward: 52.010, mean reward:  0.195 [-0.005,  0.311], mean action: 14.730 [0.000, 31.000],  loss: 1.871473, mae: 35.056892, mean_q: 37.551216
  8125/50000: episode: 53, duration: 15.427s, episode steps: 199, steps per second:  13, episode reward: 71.582, mean reward:  0.360 [-0.005,  0.486], mean action: 15.060 [0.000, 31.000],  loss: 2.151812, mae: 36.156628, mean_q: 38.801151
  8309/50000: episode: 54, duration: 14.242s, episode steps: 184, steps per second:  13, episode reward: 77.852, mean reward:  0.423 [ 0.087,  0.480], mean action: 16.255 [0.000, 31.000],  loss: 1.695689, mae: 37.203312, mean_q: 39.845539
  8576/50000: episode: 55, duration: 20.670s, episode steps: 267, steps per second:  13, episode reward: 119.641, mean reward:  0.448 [-0.005,  0.616], mean action: 14.041 [0.000, 31.000],  loss: 2.032119, mae: 38.242668, mean_q: 40.955933
  8780/50000: episode: 56, duration: 15.867s, episode steps: 204, steps per second:  13, episode reward: 75.399, mean reward:  0.370 [-0.005,  0.447], mean action: 14.005 [0.000, 31.000],  loss: 2.897097, mae: 39.384674, mean_q: 42.349663
  9047/50000: episode: 57, duration: 20.677s, episode steps: 267, steps per second:  13, episode reward: 91.040, mean reward:  0.341 [-0.005,  0.459], mean action: 14.790 [0.000, 31.000],  loss: 3.096743, mae: 40.680523, mean_q: 43.727295
