Training for 378151 steps ...
    234/378151: episode: 1, duration: 0.794s, episode steps: 234, steps per second: 295, episode reward: 62.300, mean reward:  0.266 [-0.005,  0.415], mean action: 16.073 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    383/378151: episode: 2, duration: 0.272s, episode steps: 149, steps per second: 547, episode reward: 56.686, mean reward:  0.380 [-0.005,  0.537], mean action: 15.758 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    526/378151: episode: 3, duration: 0.263s, episode steps: 143, steps per second: 543, episode reward: 37.013, mean reward:  0.259 [-0.005,  0.492], mean action: 16.203 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    796/378151: episode: 4, duration: 0.595s, episode steps: 270, steps per second: 454, episode reward: 67.897, mean reward:  0.251 [-0.005,  0.424], mean action: 15.374 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    828/378151: episode: 5, duration: 0.037s, episode steps:  32, steps per second: 856, episode reward:  5.764, mean reward:  0.180 [-0.105,  0.292], mean action: 15.188 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1095/378151: episode: 6, duration: 2.629s, episode steps: 267, steps per second: 102, episode reward: 101.471, mean reward:  0.380 [ 0.132,  0.481], mean action: 15.648 [0.000, 31.000],  loss: 0.031938, mae: 0.942945, mean_q: 1.225457
   1213/378151: episode: 7, duration: 1.282s, episode steps: 118, steps per second:  92, episode reward: 36.127, mean reward:  0.306 [-0.005,  0.471], mean action: 16.746 [0.000, 31.000],  loss: 0.013280, mae: 1.323115, mean_q: 1.553387
   1480/378151: episode: 8, duration: 3.009s, episode steps: 267, steps per second:  89, episode reward: 75.315, mean reward:  0.282 [-0.005,  0.473], mean action: 16.521 [0.000, 31.000],  loss: 0.016160, mae: 1.994824, mean_q: 2.270335
   1747/378151: episode: 9, duration: 2.894s, episode steps: 267, steps per second:  92, episode reward: 69.188, mean reward:  0.259 [-0.005,  0.449], mean action: 15.839 [0.000, 31.000],  loss: 0.030906, mae: 2.965033, mean_q: 3.355281
   1837/378151: episode: 10, duration: 1.048s, episode steps:  90, steps per second:  86, episode reward: 29.443, mean reward:  0.327 [ 0.114,  0.500], mean action: 15.700 [0.000, 31.000],  loss: 0.045228, mae: 3.653998, mean_q: 4.124282
   2102/378151: episode: 11, duration: 2.925s, episode steps: 265, steps per second:  91, episode reward: 80.863, mean reward:  0.305 [-0.005,  0.445], mean action: 14.555 [0.000, 31.000],  loss: 0.069386, mae: 4.453245, mean_q: 5.029842
   2325/378151: episode: 12, duration: 2.464s, episode steps: 223, steps per second:  90, episode reward: 73.158, mean reward:  0.328 [-0.005,  0.507], mean action: 16.027 [0.000, 31.000],  loss: 0.106951, mae: 5.661912, mean_q: 6.378873
   2566/378151: episode: 13, duration: 2.774s, episode steps: 241, steps per second:  87, episode reward: 82.840, mean reward:  0.344 [-0.005,  0.494], mean action: 15.880 [0.000, 31.000],  loss: 0.162479, mae: 6.907465, mean_q: 7.827616
