Training for 378151 steps ...
    269/378151: episode: 1, duration: 0.699s, episode steps: 269, steps per second: 385, episode reward: 60.485, mean reward:  0.225 [-0.005,  0.396], mean action: 15.472 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    536/378151: episode: 2, duration: 0.545s, episode steps: 267, steps per second: 490, episode reward: 111.283, mean reward:  0.417 [-0.005,  0.625], mean action: 15.438 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    739/378151: episode: 3, duration: 0.390s, episode steps: 203, steps per second: 521, episode reward: 65.403, mean reward:  0.322 [-0.005,  0.525], mean action: 16.438 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1006/378151: episode: 4, duration: 1.458s, episode steps: 267, steps per second: 183, episode reward: 112.185, mean reward:  0.420 [-0.005,  0.530], mean action: 15.154 [0.000, 31.000],  loss: 0.241176, mae: 0.606754, mean_q: 1.153623
   1273/378151: episode: 5, duration: 2.860s, episode steps: 267, steps per second:  93, episode reward: 69.527, mean reward:  0.260 [-0.005,  0.509], mean action: 14.712 [0.000, 31.000],  loss: 0.026366, mae: 1.427714, mean_q: 1.706434
   1540/378151: episode: 6, duration: 2.802s, episode steps: 267, steps per second:  95, episode reward: 101.255, mean reward:  0.379 [ 0.132,  0.503], mean action: 15.828 [0.000, 31.000],  loss: 0.036186, mae: 2.474149, mean_q: 2.847159
   1719/378151: episode: 7, duration: 1.915s, episode steps: 179, steps per second:  93, episode reward: 50.612, mean reward:  0.283 [-0.005,  0.379], mean action: 15.296 [0.000, 31.000],  loss: 0.054824, mae: 3.502666, mean_q: 3.982614
   1986/378151: episode: 8, duration: 2.805s, episode steps: 267, steps per second:  95, episode reward: 75.006, mean reward:  0.281 [-0.005,  0.388], mean action: 15.918 [0.000, 31.000],  loss: 0.070005, mae: 4.567612, mean_q: 5.131134
   2108/378151: episode: 9, duration: 1.285s, episode steps: 122, steps per second:  95, episode reward: 38.134, mean reward:  0.313 [-0.005,  0.471], mean action: 14.713 [0.000, 30.000],  loss: 0.072960, mae: 5.506823, mean_q: 6.114311
   2375/378151: episode: 10, duration: 2.869s, episode steps: 267, steps per second:  93, episode reward: 88.334, mean reward:  0.331 [-0.005,  0.483], mean action: 15.127 [0.000, 31.000],  loss: 0.073427, mae: 6.447121, mean_q: 7.084512
   2644/378151: episode: 11, duration: 2.870s, episode steps: 269, steps per second:  94, episode reward: 110.846, mean reward:  0.412 [ 0.016,  0.529], mean action: 15.045 [0.000, 31.000],  loss: 0.100555, mae: 7.770809, mean_q: 8.490801
