Training for 378151 steps ...
    267/378151: episode: 1, duration: 0.997s, episode steps: 267, steps per second: 268, episode reward: 59.582, mean reward:  0.223 [-0.005,  0.357], mean action: 15.472 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    364/378151: episode: 2, duration: 0.225s, episode steps:  97, steps per second: 430, episode reward: 28.705, mean reward:  0.296 [-0.005,  0.478], mean action: 16.320 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    633/378151: episode: 3, duration: 0.542s, episode steps: 269, steps per second: 496, episode reward: 48.422, mean reward:  0.180 [-0.005,  0.357], mean action: 15.803 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    902/378151: episode: 4, duration: 0.637s, episode steps: 269, steps per second: 422, episode reward: 58.169, mean reward:  0.216 [-0.005,  0.379], mean action: 15.777 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1172/378151: episode: 5, duration: 3.806s, episode steps: 270, steps per second:  71, episode reward: 54.485, mean reward:  0.202 [-0.005,  0.570], mean action: 15.107 [0.000, 31.000],  loss: 0.029023, mae: 0.610960, mean_q: 0.863223
   1441/378151: episode: 6, duration: 3.188s, episode steps: 269, steps per second:  84, episode reward: 86.702, mean reward:  0.322 [-0.005,  0.460], mean action: 14.747 [0.000, 31.000],  loss: 0.024628, mae: 1.328121, mean_q: 1.648700
   1671/378151: episode: 7, duration: 2.721s, episode steps: 230, steps per second:  85, episode reward: 77.013, mean reward:  0.335 [-0.005,  0.524], mean action: 15.313 [0.000, 31.000],  loss: 0.050818, mae: 2.365650, mean_q: 2.837811
   1726/378151: episode: 8, duration: 0.716s, episode steps:  55, steps per second:  77, episode reward: 14.187, mean reward:  0.258 [-0.005,  0.408], mean action: 14.109 [0.000, 31.000],  loss: 0.069790, mae: 3.043020, mean_q: 3.596621
   1887/378151: episode: 9, duration: 1.886s, episode steps: 161, steps per second:  85, episode reward: 37.639, mean reward:  0.234 [-0.005,  0.523], mean action: 14.627 [0.000, 31.000],  loss: 0.090458, mae: 3.648191, mean_q: 4.343088
   1940/378151: episode: 10, duration: 0.695s, episode steps:  53, steps per second:  76, episode reward: 13.941, mean reward:  0.263 [-0.005,  0.407], mean action: 13.868 [0.000, 31.000],  loss: 0.151939, mae: 4.273305, mean_q: 5.061048
   2107/378151: episode: 11, duration: 1.928s, episode steps: 167, steps per second:  87, episode reward: 57.721, mean reward:  0.346 [-0.005,  0.502], mean action: 14.659 [0.000, 31.000],  loss: 0.175242, mae: 5.052791, mean_q: 5.977643
   2157/378151: episode: 12, duration: 0.666s, episode steps:  50, steps per second:  75, episode reward: 17.687, mean reward:  0.354 [-0.005,  0.443], mean action: 15.080 [0.000, 31.000],  loss: 0.177203, mae: 5.855447, mean_q: 6.872522
   2262/378151: episode: 13, duration: 1.273s, episode steps: 105, steps per second:  82, episode reward: 41.475, mean reward:  0.395 [-0.005,  0.483], mean action: 14.905 [0.000, 31.000],  loss: 0.242108, mae: 6.406354, mean_q: 7.476201
   2342/378151: episode: 14, duration: 0.991s, episode steps:  80, steps per second:  81, episode reward: 22.138, mean reward:  0.277 [-0.005,  0.430], mean action: 14.988 [0.000, 30.000],  loss: 0.282185, mae: 7.172994, mean_q: 8.368333
   2571/378151: episode: 15, duration: 2.703s, episode steps: 229, steps per second:  85, episode reward: 97.156, mean reward:  0.424 [-0.005,  0.677], mean action: 16.668 [0.000, 31.000],  loss: 0.343769, mae: 8.440096, mean_q: 9.748716
   2651/378151: episode: 16, duration: 0.888s, episode steps:  80, steps per second:  90, episode reward: 28.708, mean reward:  0.359 [-0.005,  0.471], mean action: 15.137 [0.000, 29.000],  loss: 0.409715, mae: 9.735769, mean_q: 11.297052
   2734/378151: episode: 17, duration: 1.024s, episode steps:  83, steps per second:  81, episode reward: 28.075, mean reward:  0.338 [-0.005,  0.537], mean action: 15.795 [1.000, 31.000],  loss: 0.456629, mae: 10.540381, mean_q: 12.172256
   2888/378151: episode: 18, duration: 1.916s, episode steps: 154, steps per second:  80, episode reward: 80.383, mean reward:  0.522 [ 0.136,  0.695], mean action: 15.013 [0.000, 31.000],  loss: 0.626969, mae: 11.783330, mean_q: 13.539005
   3153/378151: episode: 19, duration: 3.119s, episode steps: 265, steps per second:  85, episode reward: 80.969, mean reward:  0.306 [ 0.136,  0.469], mean action: 13.502 [0.000, 31.000],  loss: 0.613621, mae: 13.946392, mean_q: 15.815297
   3363/378151: episode: 20, duration: 2.527s, episode steps: 210, steps per second:  83, episode reward: 82.368, mean reward:  0.392 [-0.005,  0.663], mean action: 15.790 [0.000, 31.000],  loss: 0.596981, mae: 16.324301, mean_q: 18.239035
   3431/378151: episode: 21, duration: 0.868s, episode steps:  68, steps per second:  78, episode reward: 27.007, mean reward:  0.397 [-0.005,  0.573], mean action: 14.338 [0.000, 31.000],  loss: 0.523288, mae: 17.640263, mean_q: 19.491371
   3506/378151: episode: 22, duration: 0.853s, episode steps:  75, steps per second:  88, episode reward: 17.231, mean reward:  0.230 [-0.005,  0.392], mean action: 13.787 [0.000, 31.000],  loss: 0.998997, mae: 18.078247, mean_q: 19.882971
   3665/378151: episode: 23, duration: 1.956s, episode steps: 159, steps per second:  81, episode reward: 62.195, mean reward:  0.391 [-0.005,  0.549], mean action: 16.189 [0.000, 31.000],  loss: 0.698787, mae: 19.066072, mean_q: 20.962044
   3825/378151: episode: 24, duration: 1.876s, episode steps: 160, steps per second:  85, episode reward: 63.594, mean reward:  0.397 [ 0.086,  0.593], mean action: 16.081 [0.000, 31.000],  loss: 0.888984, mae: 20.262384, mean_q: 22.208397
   4001/378151: episode: 25, duration: 2.155s, episode steps: 176, steps per second:  82, episode reward: 73.638, mean reward:  0.418 [-0.005,  0.587], mean action: 16.273 [0.000, 31.000],  loss: 0.952581, mae: 21.600569, mean_q: 23.608431
   4148/378151: episode: 26, duration: 1.750s, episode steps: 147, steps per second:  84, episode reward: 70.419, mean reward:  0.479 [-0.005,  0.617], mean action: 14.748 [0.000, 31.000],  loss: 1.151892, mae: 22.867321, mean_q: 24.953032
   4213/378151: episode: 27, duration: 0.835s, episode steps:  65, steps per second:  78, episode reward: 19.882, mean reward:  0.306 [-0.005,  0.468], mean action: 14.723 [0.000, 30.000],  loss: 1.152949, mae: 23.506639, mean_q: 25.626387
   4271/378151: episode: 28, duration: 0.650s, episode steps:  58, steps per second:  89, episode reward: 20.715, mean reward:  0.357 [ 0.086,  0.520], mean action: 13.759 [0.000, 31.000],  loss: 1.139324, mae: 24.128736, mean_q: 26.322777
   4308/378151: episode: 29, duration: 0.519s, episode steps:  37, steps per second:  71, episode reward:  4.521, mean reward:  0.122 [-0.005,  0.217], mean action: 12.595 [0.000, 30.000],  loss: 1.093109, mae: 24.541048, mean_q: 26.731476
   4386/378151: episode: 30, duration: 0.875s, episode steps:  78, steps per second:  89, episode reward: 30.031, mean reward:  0.385 [ 0.136,  0.473], mean action: 15.051 [0.000, 31.000],  loss: 1.289661, mae: 24.983076, mean_q: 27.182276
   4487/378151: episode: 31, duration: 1.224s, episode steps: 101, steps per second:  82, episode reward: 39.116, mean reward:  0.387 [-0.005,  0.525], mean action: 17.574 [0.000, 31.000],  loss: 1.526274, mae: 25.621195, mean_q: 27.864628
   4595/378151: episode: 32, duration: 1.309s, episode steps: 108, steps per second:  83, episode reward: 41.326, mean reward:  0.383 [-0.005,  0.540], mean action: 16.843 [0.000, 31.000],  loss: 2.074670, mae: 26.206930, mean_q: 28.544033
   4862/378151: episode: 33, duration: 3.270s, episode steps: 267, steps per second:  82, episode reward: 100.569, mean reward:  0.377 [-0.005,  0.588], mean action: 14.963 [0.000, 31.000],  loss: 1.879149, mae: 27.475374, mean_q: 29.900726
   4973/378151: episode: 34, duration: 1.328s, episode steps: 111, steps per second:  84, episode reward: 29.507, mean reward:  0.266 [-0.005,  0.443], mean action: 18.514 [0.000, 31.000],  loss: 1.967946, mae: 28.718267, mean_q: 31.216295
   5093/378151: episode: 35, duration: 1.449s, episode steps: 120, steps per second:  83, episode reward: 37.022, mean reward:  0.309 [-0.005,  0.435], mean action: 17.575 [0.000, 31.000],  loss: 2.029982, mae: 29.483641, mean_q: 32.083206
   5266/378151: episode: 36, duration: 2.020s, episode steps: 173, steps per second:  86, episode reward: 54.155, mean reward:  0.313 [-0.005,  0.510], mean action: 16.688 [0.000, 31.000],  loss: 2.609897, mae: 30.474819, mean_q: 33.125332
   5343/378151: episode: 37, duration: 0.963s, episode steps:  77, steps per second:  80, episode reward: 25.360, mean reward:  0.329 [ 0.086,  0.453], mean action: 15.351 [0.000, 31.000],  loss: 2.326303, mae: 31.409956, mean_q: 34.107414
   5447/378151: episode: 38, duration: 1.267s, episode steps: 104, steps per second:  82, episode reward: 35.294, mean reward:  0.339 [ 0.132,  0.436], mean action: 15.163 [0.000, 31.000],  loss: 2.664285, mae: 32.068699, mean_q: 34.891495
