Training for 378151 steps ...
    267/378151: episode: 1, duration: 0.871s, episode steps: 267, steps per second: 307, episode reward: 64.269, mean reward:  0.241 [-0.005,  0.384], mean action: 14.566 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    474/378151: episode: 2, duration: 0.420s, episode steps: 207, steps per second: 493, episode reward: 69.299, mean reward:  0.335 [ 0.086,  0.446], mean action: 13.783 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    563/378151: episode: 3, duration: 0.190s, episode steps:  89, steps per second: 469, episode reward: 23.040, mean reward:  0.259 [-0.005,  0.456], mean action: 14.944 [0.000, 31.000],  loss: --, mae: --, mean_q: --
    739/378151: episode: 4, duration: 0.293s, episode steps: 176, steps per second: 600, episode reward: 46.644, mean reward:  0.265 [-0.005,  0.411], mean action: 14.375 [0.000, 31.000],  loss: --, mae: --, mean_q: --
   1008/378151: episode: 5, duration: 1.722s, episode steps: 269, steps per second: 156, episode reward: 89.108, mean reward:  0.331 [-0.005,  0.462], mean action: 14.045 [0.000, 31.000],  loss: 0.146759, mae: 1.024740, mean_q: 1.650173
   1117/378151: episode: 6, duration: 1.162s, episode steps: 109, steps per second:  94, episode reward: 45.691, mean reward:  0.419 [-0.005,  0.571], mean action: 16.239 [0.000, 31.000],  loss: 0.030967, mae: 1.509867, mean_q: 1.841577
   1226/378151: episode: 7, duration: 1.176s, episode steps: 109, steps per second:  93, episode reward: 28.522, mean reward:  0.262 [-0.005,  0.402], mean action: 15.284 [0.000, 31.000],  loss: 0.018223, mae: 1.980611, mean_q: 2.262258
   1493/378151: episode: 8, duration: 2.852s, episode steps: 267, steps per second:  94, episode reward: 77.965, mean reward:  0.292 [-0.005,  0.400], mean action: 15.071 [0.000, 31.000],  loss: 0.022659, mae: 2.700850, mean_q: 3.042183
   1758/378151: episode: 9, duration: 2.852s, episode steps: 265, steps per second:  93, episode reward: 92.617, mean reward:  0.349 [-0.005,  0.621], mean action: 16.396 [0.000, 31.000],  loss: 0.041046, mae: 3.794459, mean_q: 4.248334
   2025/378151: episode: 10, duration: 2.947s, episode steps: 267, steps per second:  91, episode reward: 92.558, mean reward:  0.347 [-0.005,  0.478], mean action: 16.610 [0.000, 31.000],  loss: 0.069766, mae: 4.968204, mean_q: 5.517871
   2177/378151: episode: 11, duration: 1.643s, episode steps: 152, steps per second:  93, episode reward: 33.087, mean reward:  0.218 [-0.005,  0.368], mean action: 14.632 [0.000, 31.000],  loss: 0.061893, mae: 5.987900, mean_q: 6.608326
   2444/378151: episode: 12, duration: 3.073s, episode steps: 267, steps per second:  87, episode reward: 47.405, mean reward:  0.178 [-0.005,  0.366], mean action: 15.240 [0.000, 31.000],  loss: 0.093179, mae: 6.920352, mean_q: 7.590578
   2491/378151: episode: 13, duration: 0.481s, episode steps:  47, steps per second:  98, episode reward: 13.569, mean reward:  0.289 [-0.005,  0.422], mean action: 14.213 [0.000, 31.000],  loss: 0.099542, mae: 7.655849, mean_q: 8.396876
   2760/378151: episode: 14, duration: 2.923s, episode steps: 269, steps per second:  92, episode reward: 88.226, mean reward:  0.328 [-0.005,  0.525], mean action: 15.591 [0.000, 31.000],  loss: 0.175892, mae: 8.355949, mean_q: 9.167513
   3027/378151: episode: 15, duration: 2.834s, episode steps: 267, steps per second:  94, episode reward: 68.448, mean reward:  0.256 [-0.005,  0.425], mean action: 15.438 [0.000, 31.000],  loss: 0.219118, mae: 9.602983, mean_q: 10.527875
   3294/378151: episode: 16, duration: 3.017s, episode steps: 267, steps per second:  88, episode reward: 92.896, mean reward:  0.348 [-0.005,  0.468], mean action: 13.648 [0.000, 31.000],  loss: 0.305620, mae: 10.966566, mean_q: 12.009963
   3436/378151: episode: 17, duration: 1.524s, episode steps: 142, steps per second:  93, episode reward: 48.949, mean reward:  0.345 [ 0.115,  0.419], mean action: 16.514 [0.000, 31.000],  loss: 0.455337, mae: 12.083082, mean_q: 13.238857
   3584/378151: episode: 18, duration: 1.596s, episode steps: 148, steps per second:  93, episode reward: 39.560, mean reward:  0.267 [-0.005,  0.415], mean action: 12.743 [0.000, 31.000],  loss: 0.475793, mae: 12.849713, mean_q: 14.100873
